<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	168.96	169.31	168.86	168.97	43	116	1
2017.01.03	168.86	169.36	168.52	169.25	62	266	1
2017.01.04	169.43	169.47	168.32	168.34	145	587	1
2017.01.05	168.33	168.33	167.78	167.82	91	274	1
2017.01.06	168.67	168.76	168.12	168.68	161	684	1
2017.01.09	168.79	168.79	168.40	168.45	71	184	1
2017.01.10	168.89	168.99	168.06	168.45	143	843	1
2017.01.11	168.28	168.54	168.06	168.06	49	180	1
2017.01.12	167.72	168.30	167.72	168.23	39	83	1
2017.01.13	168.06	168.06	167.72	168.06	95	164	1
2017.01.16	168.25	168.34	168.09	168.33	44	92	1
2017.01.17	168.13	168.13	167.61	167.99	57	195	1
2017.01.18	167.19	167.27	166.87	167.27	141	498	1
2017.01.19	167.21	167.21	166.36	166.53	104	544	1
2017.01.20	173.91	174.06	173.67	173.67	29	78	1
2017.01.23	173.45	174.06	173.44	173.67	45	243	1
2017.01.24	173.77	173.77	173.44	173.67	16	100	1
2017.01.26	166.42	166.60	165.71	166.08	125	760	1
2017.01.27	165.80	166.13	165.19	165.54	207	1024	1
2017.01.30	165.68	166.24	165.65	165.78	148	468	1
2017.01.31	165.18	166.83	164.85	166.48	343	1844	1
2017.02.01	166.42	168.01	165.96	166.29	303	1436	1
2017.02.02	166.24	166.40	165.54	165.65	226	1260	1
2017.02.03	165.42	166.01	165.19	165.42	104	804	1
2017.02.06	165.30	166.18	165.30	165.89	91	346	1
2017.02.07	164.71	165.77	164.71	165.65	197	1020	1
2017.02.08	165.30	165.36	164.50	164.84	301	2016	1
2017.02.09	164.96	165.89	164.59	165.89	161	1165	1
2017.02.10	166.13	166.24	165.89	166.11	78	97	1
2017.02.13	165.89	166.21	165.54	165.89	75	263	1
2017.02.14	165.90	166.36	165.08	165.54	164	994	1
2017.02.15	165.54	165.54	165.06	165.24	138	1168	1
2017.02.16	165.12	165.52	164.85	164.90	122	515	1
2017.02.17	165.06	165.77	164.75	165.65	156	880	1
2017.02.20	165.77	166.72	165.54	166.72	163	735	1
2017.02.21	166.96	167.64	166.54	166.83	216	1235	1
2017.02.22	166.54	166.54	165.55	165.88	247	1309	1
2017.02.23	165.77	166.72	165.55	166.46	268	1240	1
2017.02.24	166.24	166.24	165.83	166.13	59	321	1
2017.03.01	166.46	166.83	166.28	166.83	56	128	1
2017.03.02	166.29	166.72	166.14	166.72	140	474	1
