<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.01	168.96	169.47	167.78	168.68	502	1927	1
2017.01.08	168.79	168.99	167.72	168.06	397	1454	1
2017.01.15	168.25	174.06	166.36	173.67	375	1407	1
2017.01.22	173.45	174.06	165.19	165.54	393	2127	1
2017.01.29	165.68	168.01	164.85	165.42	1124	5812	1
2017.02.05	165.30	166.24	164.50	166.11	828	4644	1
2017.02.12	165.89	166.36	164.75	165.65	655	3820	1
2017.02.19	165.77	167.64	165.54	166.13	953	4840	1
2017.02.26	166.46	167.60	166.14	166.80	463	1401	1
2017.03.05	166.72	167.53	164.76	166.62	684	2760	1
2017.03.12	166.53	167.54	165.67	166.36	1217	5642	1
2017.03.19	165.06	165.18	159.32	160.64	2593	13829	1
2017.03.26	162.09	164.48	156.84	157.17	2406	13822	1
2017.04.02	157.04	159.76	155.03	159.70	1481	6074	1
2017.04.09	160.09	161.11	159.64	160.40	955	3982	1
2017.04.16	161.15	162.93	159.33	160.35	1183	6157	1
2017.04.23	160.63	160.64	159.20	160.03	521	2273	1
2017.04.30	159.99	161.86	159.42	159.79	919	3458	1
2017.05.07	159.65	164.55	159.41	164.19	327	1115	1
2017.05.14	163.72	163.72	160.15	160.17	420	2121	1
2017.05.21	160.76	161.46	154.39	156.03	1088	4583	1
2017.05.28	156.25	157.29	155.43	156.50	1105	5145	1
2017.06.04	156.37	156.48	150.48	151.01	1668	8629	1
2017.06.11	150.73	152.10	148.72	148.82	1270	7102	1
2017.06.18	148.54	149.18	139.36	143.27	3537	17988	1
2017.06.25	143.61	149.85	143.61	147.17	1778	6320	1
2017.07.02	146.87	151.03	146.87	148.94	1499	7027	1
2017.07.09	149.18	153.28	149.18	152.41	1692	7368	1
2017.07.16	151.89	158.09	151.89	157.45	1950	10164	1
2017.07.23	157.64	159.58	156.86	159.23	1632	11345	1
2017.07.30	158.99	163.48	158.46	163.26	1822	10718	1
2017.08.06	163.13	166.08	163.13	165.96	2281	16543	1
2017.08.13	166.08	168.92	165.14	167.86	1769	9279	1
2017.08.20	168.45	168.71	162.91	164.43	2653	11209	1
2017.08.27	165.01	170.22	165.01	168.68	3234	14653	1
2017.09.03	169.27	169.75	166.67	167.50	1733	7779	1
2017.09.10	167.50	167.68	161.28	162.77	3352	16367	1
2017.09.17	162.52	166.40	162.07	166.08	2266	10536	1
2017.09.24	166.07	169.63	165.57	168.07	2819	15534	1
2017.10.01	167.86	168.21	163.72	163.84	1954	9322	1
2017.10.08	164.31	165.49	163.54	165.20	1419	7637	1
2017.10.15	165.31	165.73	162.77	163.84	1593	8086	1
2017.10.22	163.95	164.60	163.42	164.01	766	5750	1
2017.10.29	164.01	165.64	164.01	164.95	878	3720	1
2017.11.05	164.95	165.18	162.86	164.60	1707	10230	1
2017.11.12	164.37	165.82	164.14	164.89	1106	6144	1
2017.11.19	164.60	165.76	164.25	165.59	1161	6955	1
2017.11.26	165.82	166.69	164.16	165.22	1066	5781	1
2017.12.03	164.94	166.97	164.72	166.01	1310	6371	1
2017.12.10	165.56	165.73	164.44	165.67	722	3234	1
2017.12.17	165.62	166.18	165.11	165.45	544	3338	1
2017.12.24	165.45	166.00	164.83	165.61	158	861	1
2017.12.31	165.56	166.06	164.05	164.22	593	2307	1
2018.01.07	164.44	164.44	163.44	163.88	694	3103	1
2018.01.14	163.72	163.83	162.04	162.38	777	3040	1
2018.01.21	162.77	164.11	162.49	162.71	596	4480	1
2018.01.28	162.49	163.22	161.59	162.77	442	2767	1
2018.02.04	162.94	163.44	162.15	162.99	483	3018	1
2018.02.11	163.05	163.44	162.43	162.88	160	558	1
2018.02.18	163.16	164.23	162.32	162.82	496	1981	1
2018.02.25	162.99	164.12	162.65	163.33	360	1700	1
2018.03.04	162.60	162.88	160.40	162.15	659	3566	1
2018.03.11	161.81	162.77	161.02	161.87	568	3034	1
2018.03.18	161.75	162.26	158.65	159.39	1056	7009	1
2018.03.25	159.16	161.19	159.16	160.85	571	3162	1
2018.04.01	161.47	163.16	161.08	162.20	891	4482	1
2018.04.08	162.65	162.65	160.96	161.64	742	3607	1
2018.04.15	161.08	161.64	159.84	160.12	1036	6755	1
2018.04.22	160.17	160.40	158.48	159.39	837	5002	1
2018.04.29	159.39	160.06	158.48	159.84	935	6274	1
2018.05.06	160.06	160.40	157.64	158.48	1262	8156	1
2018.05.13	157.53	158.94	157.02	158.43	799	4552	1
2018.05.20	158.94	159.50	157.81	158.15	392	1897	1
2018.05.27	158.94	170.04	158.94	168.53	801	1844	1
2018.06.03	168.47	170.44	167.35	168.70	817	3333	1
2018.06.10	169.26	169.71	167.46	168.19	470	2316	1
2018.06.17	168.31	169.26	167.80	168.25	381	1275	1
2018.06.24	168.36	169.71	168.25	168.81	281	801	1
2018.07.01	168.64	169.60	168.36	168.47	351	1544	1
2018.07.08	168.36	168.42	164.77	165.11	688	2596	1
2018.07.15	165.05	166.79	165.05	166.57	416	1314	1
2018.07.22	166.62	169.43	166.51	168.87	873	3402	1
2018.07.29	168.81	169.37	166.74	167.30	732	2645	1
2018.08.05	167.46	169.03	166.74	168.25	571	1959	1
2018.08.12	168.47	168.47	166.17	167.24	673	3041	1
2018.08.19	167.13	169.09	167.13	168.53	642	3148	1
2018.08.26	168.81	171.50	168.81	171.17	1144	4683	1
2018.09.02	171.56	171.73	170.27	171.45	606	2769	1
2018.09.09	171.61	172.18	170.38	171.33	801	4058	1
2018.09.16	170.89	171.67	168.81	170.16	1133	4746	1
2018.09.23	170.66	171.50	167.24	168.98	1160	5716	1
2018.09.30	169.26	169.26	166.29	166.90	680	4283	1
2018.10.07	166.96	167.07	165.16	165.45	631	3377	1
2018.10.14	165.16	165.89	163.87	164.04	890	6665	1
2018.10.21	163.93	165.28	163.87	164.55	489	1469	1
2018.10.28	164.66	166.17	164.38	164.49	479	2701	1
2018.11.04	163.93	164.72	162.70	163.60	443	3386	1
2018.11.11	163.60	165.28	163.43	164.21	315	1795	1
2018.11.18	164.55	164.94	164.16	164.16	170	612	1
2018.11.25	164.66	166.00	164.49	165.16	400	1319	1
2018.12.02	165.83	166.88	165.22	165.99	259	1495	1
2018.12.09	166.55	167.43	165.99	167.10	347	2030	1
2018.12.16	167.10	169.31	166.82	169.26	399	2417	1
2018.12.23	169.31	169.31	167.99	168.10	87	439	1
2018.12.30	168.98	169.26	168.21	168.98	124	791	1
2019.01.06	168.98	168.98	167.65	168.54	260	818	1
2019.01.13	168.76	168.76	167.10	167.93	186	704	1
2019.01.20	168.43	168.76	166.60	167.88	127	833	1
2019.01.27	168.93	168.99	168.15	168.71	144	1318	1
2019.02.03	168.49	168.71	167.82	168.21	139	861	1
2019.02.10	167.98	169.66	167.98	168.88	388	1381	1
2019.02.17	168.88	169.10	167.48	167.54	323	1136	1
2019.02.24	167.31	168.49	167.09	167.93	197	874	1
2019.03.03	167.93	168.93	167.87	168.88	133	436	1
2019.03.10	168.88	169.32	168.43	169.27	160	627	1
2019.03.17	168.65	170.49	168.54	170.49	442	2534	1
2019.03.24	169.99	172.34	169.99	171.33	524	2575	1
2019.03.31	171.33	172.84	171.33	172.23	635	2512	1
2019.04.07	172.78	173.45	171.89	173.01	501	1865	1
2019.04.14	173.34	173.34	171.95	172.67	166	600	1
2019.04.21	173.06	173.55	171.39	171.39	305	2194	1
2019.04.28	171.12	172.25	170.31	171.17	242	1161	1
2019.05.05	171.39	173.49	169.56	171.71	633	3256	1
2019.05.12	171.77	177.21	171.39	176.83	830	3845	1
2019.05.19	176.89	177.32	173.87	176.35	1443	5106	1
2019.05.26	176.62	176.62	167.72	169.07	2321	10308	1
2019.06.02	169.23	174.08	166.54	173.87	1619	7097	1
2019.06.09	173.87	177.05	172.25	176.29	865	2849	1
2019.06.16	176.67	178.67	176.24	176.56	573	1918	1
2019.06.23	177.21	177.53	175.97	176.56	483	1688	1
2019.06.30	177.05	177.05	173.81	174.41	454	1399	1
