<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.02	31.43	31.57	31.37	31.41	74	276	1
2017.01.03	31.46	31.62	31.32	31.41	198	773	1
2017.01.04	31.25	31.31	30.83	30.86	286	1294	1
2017.01.05	30.67	30.77	30.38	30.44	449	1846	1
2017.01.06	30.34	30.49	30.17	30.17	264	1363	1
2017.01.09	30.08	30.08	29.60	29.63	333	1251	1
2017.01.10	29.37	29.43	28.52	28.61	625	2203	1
2017.01.11	28.24	28.67	28.24	28.60	181	622	1
2017.01.12	28.52	28.68	28.45	28.48	246	680	1
2017.01.13	28.57	28.65	28.48	28.52	136	258	1
2017.01.16	28.29	28.52	28.19	28.19	440	1153	1
2017.01.17	28.25	28.76	28.25	28.71	519	1663	1
2017.01.18	29.04	29.48	28.93	29.40	891	2550	1
2017.01.19	29.48	29.68	28.82	28.93	779	1954	1
2017.01.20	28.90	28.90	28.35	28.39	657	1457	1
2017.01.23	28.52	29.22	28.52	29.13	619	1562	1
2017.01.24	29.51	29.63	28.82	28.99	600	1537	1
2017.01.26	29.12	29.22	28.56	28.72	487	1345	1
2017.01.27	28.69	28.97	28.26	28.90	666	1915	1
2017.01.30	28.81	29.09	28.02	28.06	779	2328	1
2017.01.31	28.11	28.34	27.82	28.26	607	1505	1
2017.02.01	28.56	28.57	28.14	28.42	449	1194	1
2017.02.02	28.11	28.27	27.98	28.11	562	2599	1
2017.02.03	28.11	28.48	28.00	28.24	431	1468	1
2017.02.06	28.53	28.74	28.19	28.25	631	1734	1
2017.02.07	28.04	28.19	27.78	27.94	471	1634	1
2017.02.08	27.85	28.13	27.84	28.07	218	675	1
2017.02.09	28.21	28.44	28.03	28.16	488	1048	1
2017.02.10	28.28	29.01	28.23	28.80	902	2836	1
2017.02.13	29.01	29.14	28.60	28.85	642	1682	1
2017.02.14	28.85	28.85	28.40	28.59	465	1306	1
2017.02.15	28.40	28.64	27.94	28.15	638	3090	1
2017.02.16	27.98	28.35	27.97	28.11	386	1287	1
2017.02.17	28.25	28.34	27.98	28.04	398	1929	1
2017.02.20	28.22	28.30	27.82	27.95	407	1555	1
2017.02.21	27.79	28.19	27.66	28.11	461	1408	1
2017.02.22	28.35	28.35	28.01	28.16	518	2008	1
2017.02.23	28.41	28.59	28.34	28.58	665	2521	1
2017.02.24	28.29	28.57	28.28	28.39	303	781	1
2017.03.01	28.56	28.76	28.48	28.61	225	429	1
2017.03.02	28.82	29.07	28.73	28.99	453	1240	1
2017.03.03	29.12	29.32	29.01	29.19	539	2867	1
2017.03.06	29.42	29.54	29.35	29.44	383	1314	1
2017.03.07	29.29	29.33	28.94	29.05	386	1246	1
2017.03.08	29.11	29.13	28.85	28.97	223	515	1
2017.03.09	28.77	28.87	28.60	28.65	531	1429	1
2017.03.10	32.62	32.68	32.54	32.67	159	644	1
2017.03.13	32.66	32.75	32.50	32.58	148	441	1
2017.03.14	32.26	32.36	32.11	32.11	327	2043	1
2017.03.15	28.66	28.78	28.19	28.54	430	1352	1
2017.03.16	28.59	28.92	28.50	28.50	569	1953	1
2017.03.17	28.48	28.64	28.04	28.13	555	1641	1
2017.03.20	27.91	27.99	27.66	27.67	602	2521	1
2017.03.21	27.71	27.97	27.64	27.89	325	946	1
2017.03.22	27.34	27.47	26.64	26.73	773	3001	1
2017.03.23	26.61	26.68	26.13	26.28	737	2495	1
2017.03.24	25.95	26.19	25.85	25.89	488	2200	1
2017.03.27	26.13	27.10	26.13	26.41	700	2707	1
