<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2017.01.01	31.43	31.62	30.17	30.17	1271	5552	1
2017.01.08	30.08	30.08	28.24	28.52	1521	5014	1
2017.01.15	28.29	29.68	28.19	28.39	3286	8777	1
2017.01.22	28.52	29.63	28.26	28.90	2372	6359	1
2017.01.29	28.81	29.09	27.82	28.24	2828	9094	1
2017.02.05	28.53	29.01	27.78	28.80	2710	7927	1
2017.02.12	29.01	29.14	27.94	28.04	2529	9294	1
2017.02.19	28.22	28.59	27.66	28.39	2354	8273	1
2017.02.26	28.56	29.32	28.48	29.19	1217	4536	1
2017.03.05	29.42	32.68	28.60	32.67	1682	5148	1
2017.03.12	32.66	32.75	28.04	28.13	2029	7430	1
2017.03.19	27.91	27.99	25.85	25.89	2925	11163	1
2017.03.26	26.13	27.15	26.00	26.60	2698	11506	1
2017.04.02	26.66	26.73	25.01	25.23	2572	9661	1
2017.04.09	25.38	25.54	24.73	25.40	1685	6739	1
2017.04.16	25.53	26.65	25.48	26.17	2096	8353	1
2017.04.23	26.23	26.67	26.00	26.18	1817	6423	1
2017.04.30	26.28	26.71	26.10	26.19	1635	7750	1
2017.05.07	26.11	26.24	25.34	25.67	1532	7002	1
2017.05.14	25.77	27.15	25.47	26.66	3048	16462	1
2017.05.21	26.66	26.82	25.67	25.91	2403	9935	1
2017.05.28	26.00	26.10	25.37	25.65	2136	9234	1
2017.06.04	25.65	26.57	25.62	26.29	2939	13412	1
2017.06.11	26.18	26.22	25.75	25.89	1746	6922	1
2017.06.18	25.90	25.91	25.06	25.14	2369	12788	1
2017.06.25	25.20	25.21	24.02	24.70	3730	17285	1
2017.07.02	24.67	25.49	24.61	24.91	3489	13778	1
2017.07.09	25.35	26.50	24.75	25.24	5144	21106	1
2017.07.16	25.14	25.99	24.96	25.27	2936	10413	1
2017.07.23	24.97	25.33	24.75	25.11	2018	8074	1
2017.07.30	24.86	25.40	24.57	25.10	2056	9781	1
2017.08.06	25.20	26.28	25.20	26.18	2656	14505	1
2017.08.13	26.06	27.73	26.05	27.44	3101	14053	1
2017.08.20	27.59	27.92	26.29	26.50	2321	8298	1
2017.08.27	26.30	26.93	25.87	26.62	2618	12187	1
2017.09.03	26.45	27.34	26.32	27.06	1526	9524	1
2017.09.10	27.08	28.31	26.86	28.10	2795	12809	1
2017.09.17	28.14	29.79	27.82	28.63	3493	11658	1
2017.09.24	28.87	28.87	27.45	28.05	4399	14279	1
2017.10.01	28.04	28.95	27.83	28.85	3353	11055	1
2017.10.08	29.06	30.16	28.97	29.97	2490	8603	1
2017.10.15	29.85	30.24	28.42	28.65	3380	11446	1
2017.10.22	28.79	29.53	28.71	28.91	2877	7336	1
2017.10.29	29.11	29.97	28.92	29.87	1776	5412	1
2017.11.05	29.78	29.87	28.68	29.21	2073	6022	1
2017.11.12	29.42	30.11	29.38	29.70	2246	9256	1
2017.11.19	29.48	29.58	28.70	28.83	3568	15951	1
2017.11.26	29.01	29.56	28.50	29.47	2791	12163	1
2017.12.03	29.35	29.93	29.29	29.70	2160	9410	1
2017.12.10	29.42	30.43	29.42	30.33	1858	5688	1
2017.12.17	30.48	30.69	29.70	30.06	1799	5280	1
2017.12.24	30.12	30.74	30.03	30.57	694	1402	1
2017.12.31	30.55	30.55	29.75	29.98	1104	3022	1
2018.01.07	29.90	30.16	29.01	29.27	1956	6585	1
2018.01.14	29.61	30.19	28.95	30.06	2637	8936	1
2018.01.21	30.26	30.46	29.74	29.85	1683	5513	1
