<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.02	163.12	163.60	162.28	162.54	11	215	1
2020.01.03	161.07	162.97	161.07	162.97	25	60	1
2020.01.06	158.81	158.81	156.65	156.76	38	47	1
2020.01.07	155.71	158.60	154.13	158.39	60	70	1
2020.01.08	155.18	156.23	152.55	154.02	260	661	1
2020.01.09	153.08	155.29	150.97	151.50	106	175	1
2020.01.10	151.50	153.76	150.71	152.02	93	293	1
2020.01.13	150.39	150.45	147.29	147.29	173	362	1
2020.01.14	146.55	149.39	146.08	149.39	63	124	1
2020.01.15	147.92	149.87	147.29	147.71	88	220	1
2020.01.16	147.29	147.82	145.19	145.24	70	203	1
2020.01.17	144.76	145.76	143.82	144.29	55	80	1
2020.01.20	144.29	144.29	144.24	144.29	22	24	1
2020.01.21	144.40	145.45	142.03	143.08	134	187	1
2020.01.22	143.34	144.19	142.29	143.34	50	118	1
2020.01.23	144.66	146.34	143.50	145.08	84	160	1
2020.01.24	143.08	143.98	141.92	142.35	186	218	1
2020.01.27	140.29	140.29	137.40	137.40	145	232	1
2020.01.28	137.40	138.24	136.03	137.03	261	356	1
2020.01.29	135.72	135.87	131.82	131.82	185	222	1
2020.01.30	132.03	133.77	130.46	131.88	108	248	1
2020.01.31	130.82	133.61	129.98	132.82	213	338	1
2020.02.03	131.98	131.98	128.46	130.46	185	256	1
2020.02.04	132.67	133.56	127.98	129.19	184	291	1
2020.02.05	129.77	130.30	128.67	128.67	114	234	1
2020.02.06	129.04	130.67	128.46	129.93	194	284	1
2020.02.07	129.40	130.98	129.30	129.88	198	252	1
2020.02.10	129.93	131.82	128.83	131.35	188	253	1
2020.02.11	132.03	132.51	131.09	132.35	87	316	1
2020.02.12	133.61	133.88	131.56	132.30	207	243	1
2020.02.13	132.56	137.35	132.56	135.87	256	375	1
2020.02.14	136.77	142.35	136.77	142.29	301	439	1
2020.02.17	142.35	144.08	142.35	143.92	48	35	1
2020.02.18	144.19	145.92	137.66	139.61	367	511	1
