<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.01.05	158.81	158.81	150.71	152.02	557	1246	1
2020.01.12	150.39	150.45	143.82	144.29	449	989	1
2020.01.19	144.29	146.34	141.92	142.35	476	707	1
2020.01.26	140.29	140.29	129.98	132.82	912	1396	1
2020.02.02	131.98	133.56	127.98	129.88	875	1317	1
2020.02.09	129.93	142.35	128.83	142.29	1039	1626	1
2020.02.16	142.35	145.92	133.72	139.93	982	1568	1
2020.02.23	139.93	142.92	138.14	142.03	681	999	1
2020.03.01	141.61	154.65	134.19	135.14	1807	3150	1
2020.03.08	132.35	146.45	129.56	133.72	999	1968	1
2020.03.15	130.93	142.45	125.41	140.14	1156	1919	1
2020.03.22	144.13	146.71	136.51	137.51	954	1589	1
2020.03.29	138.87	141.77	134.82	136.14	355	748	1
2020.04.05	135.98	142.98	135.66	139.82	402	684	1
2020.04.12	139.71	142.24	134.88	137.40	532	1131	1
2020.04.19	137.03	138.45	124.67	125.72	921	1523	1
2020.04.26	126.25	127.77	121.09	123.62	492	606	1
2020.05.03	123.36	130.88	123.09	128.88	790	1152	1
2020.05.10	130.98	130.98	121.25	122.36	569	961	1
2020.05.17	123.09	125.72	118.99	120.25	669	2144	1
2020.05.24	120.78	124.67	110.63	111.47	963	1490	1
2020.05.31	110.47	118.15	109.10	115.73	675	1064	1
2020.06.07	116.04	117.20	112.05	112.73	652	1101	1
2020.06.14	111.31	113.36	108.99	109.68	848	1343	1
2020.06.21	110.57	114.47	107.78	109.42	1064	1656	1
2020.06.28	112.05	118.52	111.15	114.41	1086	1409	1
2020.07.05	111.50	115.35	110.56	110.62	365	1491	1
2020.07.12	110.25	115.76	109.63	113.94	478	1021	1
2020.07.19	113.79	122.73	111.81	121.69	1557	2274	1
2020.07.26	123.46	131.05	120.91	129.65	848	1585	1
2020.08.02	128.97	137.30	124.29	124.81	1196	1995	1
2020.08.09	127.15	128.97	119.35	123.77	1277	2027	1
2020.08.16	122.73	130.74	121.69	126.01	1585	2346	1
2020.08.23	128.56	137.35	124.81	134.17	1492	2903	1
2020.08.30	135.84	146.14	134.90	144.06	1378	2291	1
2020.09.06	140.42	143.12	136.26	141.46	1219	2020	1
2020.09.13	138.34	139.43	122.73	124.24	1393	2452	1
2020.09.20	120.76	126.37	118.63	126.17	1299	1775	1
2020.09.27	125.33	126.11	115.14	118.57	1419	2137	1
2020.10.04	117.53	125.02	116.54	122.63	1118	1355	1
2020.10.11	120.13	124.29	117.53	118.78	1117	1482	1
2020.10.18	119.09	120.13	115.19	118.05	739	1443	1
2020.10.25	119.61	121.59	116.75	117.95	590	1342	1
2020.11.01	117.85	123.25	115.92	123.25	544	1122	1
2020.11.08	122.21	127.57	121.69	124.50	489	2076	1
2020.11.15	122.73	137.30	122.73	131.37	984	1116	1
2020.11.22	132.30	138.34	126.53	136.88	310	519	1
2020.11.29	137.04	139.69	135.21	135.84	371	669	1
2020.12.06	135.68	141.88	133.81	141.88	693	831	1
2020.12.13	141.62	149.53	141.31	145.99	1127	1673	1
2020.12.20	142.35	147.45	142.24	145.16	365	443	1
2020.12.27	145.11	148.07	142.14	146.62	355	470	1
2021.01.03	147.97	149.53	141.77	145.05	1086	1332	1
2021.01.10	144.95	154.37	142.40	150.94	1549	2126	1
2021.01.17	149.43	153.02	147.97	148.49	602	753	1
2021.01.24	148.44	150.99	146.04	148.28	492	909	1
2021.01.31	148.91	150.47	145.47	148.39	652	745	1
2021.02.07	148.33	149.06	143.49	145.90	382	500	1
2021.02.14	148.30	151.90	148.10	151.35	462	623	1
2021.02.21	149.65	164.10	149.15	162.00	1207	2120	1
2021.02.28	161.00	164.00	153.00	153.00	831	1243	1
2021.03.07	153.55	159.00	150.15	158.20	611	894	1
2021.03.14	159.30	160.30	153.50	155.00	616	971	1
2021.03.21	155.20	155.80	149.90	152.50	680	2235	0
2021.03.28	152.00	152.90	146.10	147.65	622	931	0
2021.04.04	148.90	154.00	145.75	151.80	525	1070	0
2021.04.11	150.45	159.00	150.45	155.35	1086	1718	0
